Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Gross collection,Director,Star,Rating_Category
The Shawshank Redemption,1994,142,9.3,"28,12,020",$28.34M,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",Very High
The Godfather,1972,175,9.2,"19,59,769",$134.97M,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",Very High
The Dark Knight,2008,152,9.0,"27,93,712",$534.86M,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",High
Schindler's List,1993,195,9.0,"14,13,613",$96.90M,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']",High
The Lord of the Rings: The Return of the King,2003,201,9.0,"19,25,356",$377.85M,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']",High
12 Angry Men,1957,96,9.0,"8,37,446",$4.36M,Sidney Lumet,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",High
The Godfather Part II,1974,202,9.0,"13,30,689",$57.30M,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",High
Pulp Fiction,1994,154,8.9,"21,56,537",$107.93M,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",High
Fight Club,1999,139,8.8,"22,46,720",$37.03M,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",High
Inception,2010,148,8.8,"24,79,572",$292.58M,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",High
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,"19,53,064",$315.54M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",High
Forrest Gump,1994,142,8.8,"21,89,402",$330.25M,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",High
The Lord of the Rings: The Two Towers,2002,179,8.8,"17,36,782",$342.55M,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",High
"Il buono, il brutto, il cattivo",1966,161,8.8,"7,92,576",$6.10M,Sergio Leone,"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']",High
Jai Bhim,2021,164,8.8,"2,11,481",#219,T.J. Gnanavel,"['Suriya', 'Lijo Mol Jose', 'Manikandan K.', 'Rajisha Vijayan']",High
777 Charlie,2022,136,8.8,"37,228",*****,Kiranraj K,"['Rakshit Shetty', 'Charlie', 'Sangeetha Sringeri', 'Raj B. Shetty']",High
Spider-Man: Across the Spider-Verse,2023,140,8.7,"2,81,016",#23,"Directors:Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez']",High
Interstellar,2014,169,8.7,"20,03,590",$188.02M,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",High
Goodfellas,1990,145,8.7,"12,21,075",$46.84M,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",High
The Matrix,1999,136,8.7,"19,99,293",$171.48M,"Directors:Lana Wachowski, Lilly Wachowski","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",High
One Flew Over the Cuckoo's Nest,1975,133,8.7,"10,47,590",$112.00M,Milos Forman,"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']",High
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,"13,47,558",$290.48M,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",High
Soorarai Pottru,2020,153,8.7,"1,21,308",*****,Sudha Kongara,"['Suriya', 'Paresh Rawal', 'Aparna Balamurali', 'Urvashi']",High
Rocketry: The Nambi Effect,2022,157,8.7,"55,824",*****,Madhavan,"['Madhavan', 'Simran', 'Rajit Kapoor', 'Ravi Raghavendra']",High
The Silence of the Lambs,1991,118,8.6,"15,02,403",$130.74M,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",High
Se7en,1995,127,8.6,"17,43,044",$100.13M,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']",High
The Green Mile,1999,189,8.6,"13,67,505",$136.80M,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",High
Saving Private Ryan,1998,169,8.6,"14,56,672",$216.54M,Steven Spielberg,"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']",High
Star Wars,1977,121,8.6,"14,18,888",$322.74M,George Lucas,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']",High
Sen to Chihiro no kamikakushi,2001,125,8.6,"8,14,917",$10.06M,Hayao Miyazaki,"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']",High
Terminator 2: Judgment Day,1991,137,8.6,"11,46,422",$204.84M,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",High
Cidade de Deus,2002,130,8.6,"7,84,453",$7.56M,"Directors:Fernando Meirelles, Kátia Lund","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele', 'Phellipe Haagensen']",High
