name,number_of_episodes,original_language,vote_count,vote_average,vote_Avg_Category
Game of Thrones,73,en,21857,8.442,3
Money Heist,41,es,17836,8.257,3
Stranger Things,34,en,16161,8.624,3
The Walking Dead,177,en,15432,8.121,3
Lucifer,93,en,13870,8.486,3
Riverdale,137,en,13180,8.479,3
Squid Game,9,ko,13053,7.831,2
Breaking Bad,62,en,12398,8.89,3
The Good Doctor,116,en,11768,8.503,3
WandaVision,9,en,11308,8.3,3
The Flash,184,en,10642,7.797,2
The Big Bang Theory,279,en,10322,7.879,2
Loki,12,en,10136,8.2,3
Grey's Anatomy,419,en,9512,8.253,3
The Mandalorian,24,en,9353,8.5,3
The Simpsons,762,en,9136,7.999,2
Euphoria,16,en,9008,8.353,3
The Umbrella Academy,32,en,8891,8.604,3
Peaky Blinders,36,en,8836,8.546,3
Elite,49,es,8817,8.071,3
The Boys,32,en,8721,8.474,3
Rick and Morty,71,en,8595,8.7,3
The Vampire Diaries,171,en,8356,8.337,3
The Falcon and the Winter Soldier,6,en,8008,7.693,2
Naruto Shippūden,500,ja,7712,8.6,3
The 100,100,en,7666,7.916,2
Wednesday,8,en,7506,8.548,3
Friends,228,en,7192,8.444,3
Supernatural,327,en,6909,8.304,3
Sex Education,32,en,6647,8.304,3
Vikings,89,en,6385,8.086,3
Dark,26,de,6049,8.432,3
House,177,en,5799,8.595,3
Cobra Kai,50,en,5734,8.22,3
Demon Slayer: Kimetsu no Yaiba,55,ja,5618,8.7,3
Arrow,170,en,5569,6.793,2
Attack on Titan,87,ja,5492,8.657,3
Chernobyl,5,en,5376,8.649,3
American Horror Story,130,en,5198,8.145,3
Naruto,220,ja,5189,8.36,3
The Witcher,24,en,5159,8.132,3
Rebelde,441,es,5017,8.433,3
Westworld,36,en,4948,8.075,3
The Act,8,en,4899,7.57,2
Sherlock,12,en,4716,8.537,3
The Seven Deadly Sins,96,ja,4710,8.462,3
Dragon Ball Super,131,ja,4646,8.208,3
Fear the Walking Dead,113,en,4591,7.693,2
Prison Break,88,en,4508,8.094,3
My Hero Academia,138,ja,4496,8.673,3
Suits,134,en,4470,8.208,3
Anne with an E,27,en,4383,8.696,3
Black Mirror,26,en,4382,8.306,3
How I Met Your Mother,208,en,4376,8.158,3
Better Call Saul,63,en,4354,8.645,3
Miraculous: Tales of Ladybug & Cat Noir,129,fr,4197,8.043,3
Dark Desire,33,es,4181,7.3,2
Mr. Robot,45,en,4119,8.242,3
Dragon Ball Z,291,ja,4070,8.3,3
The Last of Us,9,en,4065,8.658,3
One Piece,1080,ja,4052,8.725,3
Marvel's Daredevil,39,en,4046,8.172,3
Supergirl,126,en,3974,7.334,2
Malcolm in the Middle,151,en,3896,8.495,3
Family Guy,411,en,3884,7.288,2
13 Reasons Why,49,en,3827,7.647,2
South Park,321,en,3813,8.359,3
The Queen's Gambit,7,en,3810,8.524,3
Teen Wolf,100,en,3803,8.569,3
Smallville,216,en,3730,8.232,3
Chucky,24,en,3724,7.9,2
Invincible,12,en,3717,8.677,3
Scorpion,93,en,3688,8.246,3
What If...?,9,en,3676,8.208,3
Dexter,96,en,3675,8.19,3
Lost,118,en,3659,7.961,2
Death Note,37,ja,3605,8.64,3
Avatar: The Last Airbender,61,en,3497,8.69,3
The Office,186,en,3443,8.587,3
House of the Dragon,10,en,3413,8.448,3
Criminal Minds,334,en,3413,8.324,3
Law & Order: Special Victims Unit,538,en,3389,7.962,2
The Mentalist,151,en,3378,8.39,3
Under the Dome,39,en,3355,7.214,2
Pablo Escobar: The Drug Lord,113,es,3350,7.603,2
Arcane,9,en,3341,8.74,3
All of Us Are Dead,12,ko,3335,8.354,3
Chilling Adventures of Sabrina,36,en,3320,8.242,3
Marvel's Agents of S.H.I.E.L.D.,136,en,3221,7.492,2
One-Punch Man,24,ja,3207,8.381,3
The Purge,20,en,3204,6.929,2
Siren,36,en,3171,7.75,2
Gotham,100,en,3157,7.6,2
"Yo soy Betty, la fea",335,es,3133,8.335,3
The Originals,92,en,3125,8.6,3
Band of Brothers,10,en,3107,8.488,3
Love Is In The Air,52,tr,2920,8.2,3
Bones,246,en,2891,8.264,3
